                                         clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
A1_AF1845A_A_flavescens                          270767            117591             2086             1461        149629 17382998   54433        0.00313
A2_QCAZ45640_A_elegans                           142413             54223             1337              911         85942  9989124   44441        0.00445
A3_QCAZ62211_A_condor                            173250             69830             1369             1015        101036 11745481   45200        0.00385
A4_R351A_varius_C_Richards                         4568              1953               28               24          2563   297734     951        0.00319
B1_C1021An_A_sp_nov_Cesar                        221831            107768             1645             1200        111218 12942512   60058        0.00464
B2_QCAZ46824_A_exiguus_Rio_Mazan                 182364             75294             1534              909        104627 12169187   62959        0.00517
B3_QCAZ63376_A_palmatus_Rio_Topo                 386603            164942             3294             2460        215907 25101174  129612        0.00516
B4_R352Ace_A_certus_Ibanez                       222053             72492             2395             1411        145755 16933079   66666        0.00394
C1_JCSRha                                         41818             22895             1154              678         17091  1995077   25907        0.01299
C2_QCAZ48630_A_wampukrum_Rio_Pasme               101629             60782              454              479         39914  4637589   12585        0.00271
C3_QCAZ63506_A_cf_podocarpus                     241592             99928             2072             1400        138192 16066847   88468        0.00551
C4_R354_A_glyphus_Ibanez                         195209             60983             2110             1184        130932 15218153   68305        0.00449
D1_QCAZ21123_A_exiguus_Frutatian                 160382             67338             1395              918         90731 10557032   64881        0.00615
D2_Q55103_A_elegans_Durango                        7617              2915               62               28          4612   535309    1565        0.00292
D3_QCAZ64462_A_podocarpus                        154614             62382             1331              902         89999 10461503   59398        0.00568
D4_R357Ali_A_limosus                             199387             61842             2179             1388        133978 15566640   70543        0.00453
E1_QCAZ30617_A_spumrius_Pucayacu                 229861            101802             1575             1307        125177 14566410   42074        0.00289
E3_QCAZ65312_A_longirostris_Goaltal              228521             92690             1859             1321        132651 15420420   71843        0.00466
F1_F1_QCAZ32406_A_exiguus_QCAZuimsacocha         228918            106059             1803             1255        119801 13958746   84302        0.00604
F2_QCAZ57948_A_sp_nov_9deOctubre                 205813             91253             1603             1113        111844 13023510   53230        0.00409
F3_QCAZ66576_A_palmatus_Rio_Topo                 252904            109833             1977             1668        139426 16208127   53984        0.00333
G1_Q32664_A_spumarius_Yasuni_km38                 17611              7337              127               62         10085  1171005    3175        0.00271
G2_R93Amin                                        17441              8515               93               80          8753  1016146    3242        0.00319
H1_QCAZ38427_A_nanay_Rio_Patul                   225883             96821             1967             1316        125779 14630569   83154        0.00568
H2_R94Amin                                         1921              1091                6               10           814    94444     281        0.00298
H3_QCAZ67498_A_longirostris_Goaltal              182038             73258             1772             1096        105912 12313085   61501        0.00499
H4_T6877_Bufo_nebulifer                            2581              2525                1                6            49     5551      43        0.00775
KU_201106_T6225Ai_A_ignescens_CTPX                79377             19898              730              297         58452  6786907   24137        0.00356
KU_201113_T6223_Ai_A_ignescens_Cotopaxi          121202             34805             1194              580         84623  9829315   41169        0.00419
KU_202248_T6222_A_ignescens_Bolivar               50263             13055              396              219         36593  4247588   14441        0.00340
QCAZ66757A_A_condor                              148952             59403             1244              781         87524 10177353   45337        0.00445
